taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2330911	Aplidium stellatum (Verrill, 1871)	2330911	Aplidium stellatum (Verrill, 1871)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Ascidiacea	356	Aplousobranchia	9589977	Polyclinidae	7348	Aplidium	2330825	Aplidium stellatum	2330911	NE
5846430	Leucophaeus pipixcan (Wagler, 1831)	5846430	Leucophaeus pipixcan (Wagler, 1831)	128	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Leucophaeus	4352369	Leucophaeus pipixcan	5846430	NE
7341822	Setophaga palmarum (J.F.Gmelin, 1789)	7341822	Setophaga palmarum (J.F.Gmelin, 1789)	16029	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga palmarum	7341822	LC
2369346	Eugerres plumieri (Cuvier, 1830)	2369346	Eugerres plumieri (Cuvier, 1830)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Gerreidae	4273	Eugerres	2369341	Eugerres plumieri	2369346	LC
4266478	Nycticeius humeralis subtropicalis Schwartz, 1951	4266478	Nycticeius humeralis subtropicalis Schwartz, 1951	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Vespertilionidae	9368	Nycticeius	2432308	Nycticeius humeralis	2432314	
9916309	BOLD:ADI4648	9916309	BOLD:ADI4648	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Dactyloidae	8345926	Anolis	8782549	Anolis sagrei	4287413	
12322426	Rubricatochromis Lamboj & Koblmüller, 2022	12322426	Rubricatochromis Lamboj & Koblmüller, 2022	8	GENUS	DOUBTFUL	Animalia	1	Chordata	44			Perciformes	587	Cichlidae	8522	Rubricatochromis	12322426			
2457577	Thamnophis saurita (Linnaeus, 1766)	2457577	Thamnophis saurita (Linnaeus, 1766)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Thamnophis	2457825	Thamnophis saurita	2457577	LC
2481930	Cathartes aura (Linnaeus, 1758)	2481930	Cathartes aura (Linnaeus, 1758)	12963	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	LC
2489888	Dendroica striata (J.R.Forster, 1772)	6092935	Setophaga striata (J.R.Forster, 1772)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga striata	6092935	NT
2390847	Caranx latus Agassiz, 1831	2390847	Caranx latus Agassiz, 1831	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Carangidae	4253	Caranx	2390749	Caranx latus	2390847	LC
2388638	Serraniculus pumilio Ginsburg, 1952	2388638	Serraniculus pumilio Ginsburg, 1952	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Serranidae	8597	Serraniculus	2388637	Serraniculus pumilio	2388638	LC
2438147	Sigmodon hispidus Say & Ord, 1825	2438147	Sigmodon hispidus Say & Ord, 1825	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Sigmodon	2438146	Sigmodon hispidus	2438147	LC
